FID,OBJECTID,Layer,Phase,Plot_Numbe,Plot_Type,Area_Acre,Area_Sqm,Adjacent_P,Adjacent_R,Availabili,Relationsh,Test,Shape_Leng,Shape_Area,Plot_Name,Plot_No_V1
34,34,00-PLOT BOUNDARY-25-03-2022,Phase 1,16,Plot,2.91,11794.82,"15, 17",RD-10,Yes, ,2.91,441.752560614,11794.8153504,Yes,16,,
35,35,00-PLOT BOUNDARY-25-03-2022,Phase 1,15,Plot,1.09,4431.11,16,RD-10,Yes, ,1.09,270.185713664,4431.11013262,Yes,15,,
36,36,00-PLOT BOUNDARY-25-03-2022,Phase 1,13,Plot,20.05,81145.54,14,"RD-10, RD-11, MDR",Yes, ,20.05,1286.3862825,81145.5410844,Yes,13,,
37,38,00-PLOT BOUNDARY-25-03-2022,Phase 1, ,60 MT WIDE ROW,0,1382.31, , ,NA, , ,261.056716814,1382.30901537,Road, ,,
38,39,00-PLOT BOUNDARY-25-03-2022,Phase 1,RD 10,18 MT-ROW,0,27866.58, , ,NA, , ,3166.63332534,27866.5753652,Road, ,,
39,40,00-PLOT BOUNDARY-25-03-2022,Phase 1,60 MT WIDE ROW,60 MT WIDE ROW,0,122881.37, , ,NA, , ,4308.21116893,122881.369086,Road, ,,
40,41,00-PLOT BOUNDARY-25-03-2022,Phase 1,GS,Green Space,0,2860.87, , ,NA, , ,225.874131619,2873.54131226,Green Space, ,,
41,42,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,2194.31, , ,NA, , ,509.981399671,2194.31471382,Green Space, ,,
42,43,00-MASTER PLAN CANAL, , ,Canal,0,0, , ,NA, , ,731.36145226,13554.4418269,Canal, ,,
43,46,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,656.758336093,4666.43003947,Green Space, ,,
44,47,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,543.076327518,1945.12922991,Green Space, ,,
45,49,COMPOUND WALL, , ,Tornascent Care Institute,0,0, , ,NA, , ,678.367510883,20695.5833932,No, ,,
46,51,00-PLOT BOUNDARY-25-03-2022,Phase 1,UC 2,8 MT-UC,0,739.4, , ,NA, , ,205.995181465,739.396002931,Road, ,,
47,52,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,36704.13, , ,NA, , ,8106.69985299,36704.1266759,Green Space, ,,
48,53,00-PLOT BOUNDARY-25-03-2022,Phase 1,WB-5,Waterbody,0,107362.19, , ,NA, , ,1436.67316217,107362.187392,Waterbody, ,,
49,54,00-PLOT BOUNDARY-25-03-2022,Phase 1, , ,0,65136.71, , ,NA, , ,1073.9124509,65136.7071906,No, ,,
